,Rage
13420,0
13430,0
13459,0
13474,0
13475,0
13493,0
13494,0
13495,0
13504,0
13520,0
13592,0
13595,0
13596,0
13599,0
13600,0
13601,0
13636,0
13658,0
13670,0
13675,0
13676,0
13677,0
13678,0
13684,0
13733,0
13734,0
13758,0
13779,0
13794,0
13796,0
13797,0
13805,0
13806,0
13823,0
13846,0
13863,0
13884,0
13885,0
13887,0
13889,0
13892,0
13904,0
13932,0
13933,0
13934,0
13935,0
13936,0
13937,0
13940,0
13943,0
13976,0
13991,0
13992,0
13993,0
13994,0
13996,0
14009,0
14010,0
14050,0
14052,0
14058,0
14060,0
14061,0
14062,0
14105,0
14112,0
14142,1
14144,1
14162,1
14168,1
14176,1
14189,1
14191,0
14206,0
14223,1
14226,1
14233,0
14238,1
14240,1
14248,1
14272,0
14301,1
14368,1
14369,0
14370,0
14371,1
14373,1
14382,1
14387,1
14388,1
14417,0
14445,1
14448,1
14449,1
14450,1
14451,0
14486,1
14490,1
14524,0
14529,0
14537,1
14553,1
14556,1
14558,1
14571,1
14572,1
14599,0
14635,1
14637,0
14639,1
14640,0
14641,1
14642,1
14646,1
14655,1
14656,0
14657,0
14658,0
14665,0
14670,1
14676,1
14677,1
14791,1
14792,0
14793,1
14794,1
14795,0
14808,1
15279,0
15284,1
14866,1
14885,1
14886,1
14890,1
14892,0
14898,1
14910,1
15185,1
14979,1
14980,1
14981,1
14983,0
14984,1
14985,0
15008,1
15010,1
15047,0
15048,0
15049,0
15050,0
15051,1
15052,1
15071,1
15076,1
15111,1
15122,0
15123,0
15124,1
15125,1
15130,1
15153,0
15155,1
15201,1
15219,0
15221,1
15224,1
15235,1
15237,0
15251,1
15338,1
15393,0
15394,0
15395,0
15409,0
15410,1
15412,0
15413,1
15419,1
15486,1
15487,1
15488,1
15489,1
15490,1
15492,1
15501,1
15505,1
18760,0
18761,0
18858,0
18859,0
18912,0
18913,0
19009,1
19010,1
19063,1
19069,0
19132,1
19136,1
19343,0
19350,0
19351,0
19352,0
19353,0
19357,0
19360,0
19362,0
19365,0
19367,0
19369,0
19371,0
19372,0
19376,0
19377,0
19382,0
19385,0
19401,0
19405,0
19406,0
19407,0
19425,0
19426,0
19428,0
19439,0
19443,0
19447,0
19449,0
19450,0
19463,0
19479,0
19498,0
19505,0
19543,0
19548,0
19549,0
19550,0
19566,0
19571,0
19574,0
19583,0
19604,0
19618,0
19619,0
19622,0
19638,0
19641,0
19660,0
19689,0
19707,0
19708,0
19710,0
19711,0
19754,0
19756,0
19762,0
19776,0
19793,0
19801,0
19803,0
19810,0
19825,0
19827,0
19846,0
19929,0
19931,0
19944,0
19951,0
19957,0
19982,0
19983,0
19984,0
20006,0
20010,0
20011,0
20035,0
20041,0
20052,0
20057,0
20064,0
20097,0
20098,0
20099,0
20101,0
20102,0
20148,0
20154,0
20161,0
20177,0
20186,0
20202,0
20205,0
20226,0
20235,0
20261,0
20262,0
20270,0
20271,0
20273,0
20275,0
20283,0
20284,0
20285,0
20287,0
20294,0
20317,0
20323,0
20331,0
20337,0
20341,0
20342,0
20353,0
20382,0
20419,0
20425,0
20431,0
20435,0
20445,0
20449,0
20450,0
20480,1
20481,1
20482,0
20497,1
20498,1
20537,1
20545,1
20553,0
20560,1
20587,1
20588,0
20589,1
20590,1
20617,0
20619,1
20628,1
20669,1
20701,0
20706,1
20707,1
20711,1
20737,1
20738,1
20739,1
20770,1
20802,1
20803,1
20807,1
20812,1
20829,0
20830,1
20831,1
20885,0
20886,0
20887,1
20888,1
20889,1
20911,0
20927,0
20938,1
20942,1
20943,1
20944,0
20945,1
20949,1
20957,1
20959,1
21299,1
21082,1
21083,0
21093,1
21096,1
21106,0
21117,1
21119,1
21123,1
21156,0
21161,1
21162,0
21168,1
21178,1
21190,1
21201,0
21205,0
21222,1
21230,1
21232,0
21241,1
21247,1
21275,1
21276,1
21279,0
21317,1
21323,1
21324,1
21325,1
21326,1
21358,1
21361,1
21384,0
21412,1
21424,1
21425,0
21426,1
21427,0
21474,1
21475,0
21476,1
21495,0
21518,1
21519,1
21520,1
21530,0
21564,0
21567,1
21570,1
21586,0
21624,1
21627,1
21628,1
21630,1
21640,1
21665,0
21666,0
21695,1
21696,0
21697,1
21700,1
21706,1
21707,0
21709,0
21711,1
21828,1
21844,0
21845,0
21847,0
21848,1
21849,1
21850,1
21852,0
22667,0
22669,0
22670,0
22671,0
22674,0
22677,0
22678,0
22684,0
22689,0
22690,0
22691,0
22692,0
22701,0
22705,0
22706,0
22712,0
22714,0
22718,0
22734,0
22735,0
22736,0
22758,0
22759,0
22762,0
22786,0
22791,0
22792,0
22794,0
22808,0
22841,0
22843,0
22845,0
22856,0
22884,0
22885,0
22886,0
22889,0
22904,0
22912,0
22915,0
22948,0
22976,0
22985,0
22986,0
22987,0
23016,0
23017,0
23018,0
23042,0
23063,0
23064,0
23065,0
23066,0
23094,0
23103,0
23119,0
23138,0
23163,0
23164,0
23165,0
23166,0
23205,0
23206,0
23209,0
23269,0
23275,0
23276,0
23281,0
23283,0
23319,0
23326,0
23332,0
23360,0
23395,0
23396,0
23397,0
23407,0
23416,0
23421,0
23427,0
23452,0
23477,0
23479,0
23481,0
23483,0
23510,0
23518,0
23523,0
23539,0
23547,0
23548,0
23550,0
23555,0
23590,0
23600,0
23601,0
23630,0
23631,0
23632,0
23634,0
23635,0
23636,0
23644,0
23646,0
23648,0
23658,0
23677,0
23690,0
23701,0
23704,0
23707,0
23725,0
23749,0
23757,0
23758,0
23759,0
23760,0
23823,0
23829,0
23830,0
23839,1
23848,1
23849,0
23872,1
23894,1
23904,1
24300,1
24301,1
23926,1
23939,1
23944,0
23946,1
23947,1
23993,0
24005,1
24006,1
24038,1
24043,1
24044,1
24045,1
24065,1
24103,1
24108,1
24112,1
24126,1
24134,1
24135,0
24136,1
24145,1
24179,1
24180,1
24193,1
24217,1
24225,1
24226,1
24227,1
24236,1
24267,1
24268,1
24270,0
24303,1
24309,1
24316,1
24318,1
24319,0
24320,0
24322,0
24323,1
24453,1
24474,1
24480,1
24481,1
24483,1
24505,0
24506,0
24507,1
24525,1
24568,0
24569,0
24570,0
24571,1
24587,1
24588,1
24589,1
24617,1
24638,1
24641,0
24642,1
24643,1
24653,1
24654,0
24668,0
24717,1
24727,0
24729,0
24730,1
24737,1
24766,1
24768,1
24789,1
24798,0
24837,0
24838,1
24839,0
24840,0
24857,1
24858,0
24861,1
24891,0
24909,0
24910,1
24911,0
24912,1
24943,1
24944,0
24945,1
24980,0
25000,1
25002,1
25004,1
25019,1
25055,0
25056,1
25057,1
25108,0
25145,1
25146,1
25147,0
25148,1
25149,1
25153,1
25154,1
25273,1
25274,1
25275,1
25276,1
25277,0
25278,1
25279,1
25280,1
52,0
74,0
75,0
76,0
77,0
78,0
82,0
88,0
90,0
93,0
114,0
116,0
117,0
118,0
123,0
132,0
134,0
149,0
152,0
167,0
177,0
178,0
180,0
188,0
195,0
196,0
221,0
247,0
256,0
2072,0
286,0
287,0
288,0
289,0
293,0
295,0
298,0
311,0
324,0
345,0
351,0
369,0
377,0
380,0
383,0
392,0
394,0
400,0
404,0
405,0
477,0
478,0
498,0
499,0
500,0
501,0
503,0
506,0
544,0
546,0
573,0
575,0
576,0
585,0
598,0
599,0
601,0
602,0
610,0
638,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
713,0
714,0
724,0
748,0
761,0
762,0
763,0
779,0
789,0
791,0
793,0
803,0
805,0
822,0
857,0
858,0
859,0
860,0
861,0
862,0
864,0
865,0
866,0
877,0
878,0
879,0
898,0
899,0
900,0
901,0
908,0
921,0
960,0
972,0
973,0
974,0
976,0
994,0
1006,0
1038,0
1039,0
1040,0
1047,0
1070,0
1074,0
1075,0
1078,0
1082,0
1083,0
1101,0
